Crime Date,Crime Code,Description,Weapon,District,Neighbourhood,Longtitude,Latitude,Impact,Intensity
2012,6,Larceny,Other,SOUTHEASTERN,Bayview,-76.54202,39.28999,0.281,142
2012,5A,BURGLARY,Other,SOUTHWESTERN,Beechfield,-76.70061,39.27768,0.256,148
2012,6,Larceny,Other,NORTHEASTERN,Belair-Edison,-76.56761,39.32149,0.215,993
2012,4C,AGG. ASSAULT,KNIFE,NORTHEASTERN,Belair-Parkside,-76.57179,39.32831,0.217,23
2012,6D,LARCENY FROM AUTO,Other,Northern,Bellona-Gittings,-76.6205,39.36645,0.5,6
2012,6,Larceny,Other,SOUTHERN,Port Covington,-76.6088,39.25945,0.914,70
2012,6D,LARCENY FROM AUTO,Other,NORTHEASTERN,Belvedere,-76.60937,39.36413,0.3,494
2012,6,Larceny,Other,SOUTHEASTERN,Pulaski Industrial Area,-76.5405,39.2854,0.476,250
2012,5A,BURGLARY,Other,NORTHEASTERN,Ramblewood,-76.59348,39.36619,0.244,90
2012,4,COMMON ASSAULT,HANDS,EASTERN,Berea,-76.57562,39.30613,0.252,250
2012,6,Larceny,Other,NORTHWESTREN,Reisterstown Station,-76.7,39.35256,0.304,346
2012,5A,BURGLARY,Other,Northern,Better Waverly,-76.60813,39.32829,0.245,355
2012,6,Larceny,Other,Northern,Remington,-76.62302,39.32307,0.32,178
2012,6,Larceny,Other,NORTHEASTERN,Beverly Hills,-76.56816,39.33838,0.339,536
2012,4,COMMON ASSAULT,HANDS,CENTRAL,Reservoir Hill,-76.63365,39.31367,0.226,485
2012,6D,LARCENY FROM AUTO,Other,SoUTHERN,Ridgely's Delight,-76.62377,39.28247,0.336,98
2012,6,Larceny,Other,EASTERN,Biddle Street,-76.5762,39.30497,0.254,106
2012,6,Larceny,Other,CENTRAL,Bolton Hill,-76.62783,39.30726,0.33,106
2012,6D,LARCENY FROM AUTO,Other,SOUTHERN,Riverside,-76.60648,39.27036,0.28,292
2012,5A,BURGLARY,Other,SOUTHWESTERN,Rognel Heights,-76.68881,39.29661,0.271,177
2012,5A,BURGLARY,Other,Northern,Roland Park,-76.63554,39.34451,0.31,132
2012,4,COMMON ASSAULT,HANDS,SOUTHWESTERN,Boyd-Booth,-76.65039,39.28702,0.224,58
2012,4,COMMON ASSAULT,HANDS,SOUTHWESTERN,Rosemont,-76.66678,39.30471,0.243,185
2012,6,Larceny,Other,SOUTHEASTERN,Brewers Hill,-76.56328,39.28633,0.298,114
2012,5A,BURGLARY,Other,NORTHEASTERN,Rosemont East,-76.53587,39.35433,0.292,99
2012,5A,BURGLARY,Other,WESTERN,Rosemont Homeowners/Tenan,-76.65739,39.29544,0.195,128
2012,4,COMMON ASSAULT,HANDS,WESTERN,Bridgeview/Greenlawn,-76.65363,39.30226,0.202,168
2012,5A,BURGLARY,Other,SOUTHWESTERN,Saint Agnes,-76.67573,39.27243,0.653,49
2012,4,COMMON ASSAULT,HANDS,EASTERN,Broadway East,-76.58409,39.30526,0.28,446
2012,6,Larceny,Other,SOUTHEASTERN,Saint Helena,-76.53182,39.26147,0.38,21
2012,6,Larceny,Other,SOUTHWESTERN,Saint Josephs,-76.67313,39.28544,0.198,121
2012,6,Larceny,Other,SOUTHERN,Saint Paul,-76.64394,39.26667,0.444,9
2012,4,COMMON ASSAULT,HANDS,WESTERN,Sandtown-Winchester,-76.64628,39.30551,0.258,707
2012,6,Larceny,Other,NORTHWESTREN,Seton Business Park,-76.70776,39.34329,0.48,75
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Seton Hill,-76.62217,39.29573,0.271,162
2012,6D,LARCENY FROM AUTO,Other,SOUTHERN,Sharp-Leadenhall,-76.61974,39.27614,0.362,113
2012,4C,AGG. ASSAULT,KNIFE,SOUTHWESTERN,Shipley Hill,-76.65607,39.28664,0.24,166
2012,6D,LARCENY FROM AUTO,Other,SOUTHERN,South Baltimore,-76.61321,39.2723,0.336,214
2012,4,COMMON ASSAULT,HANDS,EASTERN,South Clifton Park,-76.59179,39.31263,0.223,103
2012,6,Larceny,Other,SOUTHERN,Stadium Area,-76.6197,39.28523,0.5,84
2012,7,AUTO THEFT,Other,NORTHEASTERN,Stonewood-Pentwood-Winsto,-76.58846,39.34808,0.209,43
2012,5A,BURGLARY,Other,SOUTHWESTERN,Ten Hills,-76.70255,39.29215,0.406,64
