CrimeYear,Crime Code,Description,Weapon,District,Neighbourhood,Longitude,Latitude,Impact,Intensity
2017,6,Larceny,Other,SOUTHEASTERN,Canton Industrial Area,-76.55588,39.27747,0.707,195
2012,6,Larceny,Other,SOUTHERN,Carroll - Camden Industri,-76.62763,39.27438,0.425,188
2013,6,Larceny,Other,SOUTHERN,Carroll - Camden Industri,-76.62763,39.27438,0.435,216
2014,6,Larceny,Other,SOUTHERN,Carroll - Camden Industri,-76.62763,39.27438,0.415,65
2015,6,Larceny,Other,SOUTHERN,Carroll - Camden Industri,-76.62763,39.27438,0.405,312
2016,6,Larceny,Other,SOUTHERN,Carroll - Camden Industri,-76.62763,39.27438,0.297,365
2017,4,Common Assault,Gun,SOUTHERN,Carroll - Camden Industri,-76.62763,39.27438,0.301,176
2012,4,Common Assault,HANDS,NORTHWESTREN,Central Park Heights,-76.67401,39.34307,0.246,503
2013,4,Common Assault,KNIFE,NORTHWESTREN,Central Park Heights,-76.67401,39.34307,0.216,499
2014,4,Common Assault,KNIFE,NORTHWESTREN,Central Park Heights,-76.67401,39.34307,0.206,498
2015,4A,Agg Assault,KNIFE,NORTHWESTREN,Central Park Heights,-76.67401,39.34307,0.196,520
2016,4A,Agg Assault,KNIFE,NORTHWESTREN,Central Park Heights,-76.67401,39.34307,0.18,604
2017,4,Common Assault,FIRE ARM,NORTHWESTREN,Central Park Heights,-76.67401,39.34307,0.278,336
2012,4,Common Assault,HANDS,SOUTHERN,Cherry Hill,-76.62268,39.24649,0.254,794
2013,4,Common Assault,HANDS,SOUTHERN,Cherry Hill,-76.62268,39.24649,0.273,684
2014,6,Larceny,HANDS,SOUTHERN,Cherry Hill,-76.62268,39.24649,0.2073,590
2015,4,Common Assault,FIRE ARM,SOUTHERN,Cherry Hill,-76.62268,39.24649,0.193,620
2016,5A,Burglary,FIRE ARM,SOUTHERN,Cherry Hill,-76.62268,39.24649,0.357,847
2017,5A,Burglary,FIRE ARM,SOUTHERN,Cherry Hill,-76.62268,39.24649,0.234,551
2012,6D,Larceny from Auto,Other,CENTRAL,Downtown,-76.61696,39.29408,0.271,1995
2013,6,Larceny,Other,CENTRAL,Downtown,-76.61696,39.29408,0.368,1649
2014,6,Larceny,Other,CENTRAL,Downtown,-76.61696,39.29408,0.328,1362
2015,6,Larceny,Other,CENTRAL,Downtown,-76.61696,39.29408,0.338,1408
2016,6,Larceny,Other,CENTRAL,Downtown,-76.61696,39.29408,0.27,1672
2017,6,Larceny,Other,CENTRAL,Downtown,-76.61696,39.29408,0.26,1002
2012,5A,Burglary,Other,NORTHEASTERN,Four By Four,-76.57851,39.31649,0.322,127
2013,4,Common Assault,KNIFE,NORTHEASTERN,Four By Four,-76.57851,39.31649,0.39,892
